time,prevBugs,linesAdded,linesRemoved,totalChurn,loc,max-len,complex-chaining,max-params,max-nested-callbacks,max-statements,complexity,max-depth,complex-switch-case,this-assign,no-reassign,extra-bind,cond-assign,smelly,event
0,0,12,2,14,404,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,0,1,1,2,404,0,0,0,0,0,0,0,0,0,1,0,0,1,0
9,0,1,1,2,393,0,0,0,0,0,0,0,0,0,1,0,0,1,0
11,0,19,6,25,406,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,0,6,1,7,411,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,0,0,1,1,410,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,0,2,2,4,410,0,0,0,0,0,0,0,0,0,1,0,0,1,0
6,0,1,1,2,393,0,0,0,0,0,0,0,0,0,1,0,0,1,0
8,1,6,0,6,399,0,0,0,0,0,0,0,0,0,1,0,0,1,1
0,2,6,0,6,399,0,0,0,0,0,0,0,0,0,1,0,0,1,1
0,2,2,0,2,401,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,2,2,0,2,401,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,2,5,5,10,401,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,2,5,5,10,401,0,0,0,0,0,0,0,0,0,1,0,0,1,0
35,2,2,3,5,403,0,0,0,0,0,0,0,0,0,1,0,0,1,0
12,2,1,1,2,393,0,0,0,0,0,0,0,0,0,1,0,0,1,0
55,2,2,1,3,394,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2,2,3,1,4,396,0,0,0,0,0,0,0,0,0,1,0,0,1,0
24,2,5,11,16,404,0,0,0,0,0,0,0,0,0,1,0,0,1,0
495,3,2,0,2,427,0,0,0,0,0,0,0,0,0,1,0,0,1,1
72,4,102,18,120,509,0,0,0,0,0,0,1,0,0,1,0,0,1,1
6,4,21,23,44,507,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,4,3,2,5,508,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3,4,20,0,20,529,0,0,0,0,0,0,1,0,0,1,0,0,1,0
0,4,15,15,30,508,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,4,8,14,22,524,0,0,0,0,0,0,0,0,0,1,0,0,1,0
7,4,2,2,4,524,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,4,4,0,4,528,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,4,1,1,2,508,0,0,0,0,0,0,0,0,0,1,0,0,1,0
33,4,22,17,39,432,0,0,0,0,0,0,0,0,0,1,0,0,1,0
22,4,48,19,67,557,0,0,0,0,0,0,0,0,0,1,0,0,1,0
17,4,7,10,17,554,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,4,7,14,21,547,0,0,0,0,0,0,0,0,0,1,0,0,1,0
10,4,9,15,24,541,0,0,0,0,0,0,0,0,0,1,0,0,1,0
7,4,1,1,2,508,0,0,0,0,0,0,0,0,0,1,0,0,1,0
21,4,1,1,2,541,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,4,2,2,4,541,0,0,0,0,0,0,0,0,0,1,0,0,1,0
6,4,5,18,23,497,0,0,0,0,0,0,0,0,0,1,0,0,1,0
40,4,14,5,19,550,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,4,11,4,15,557,0,0,0,0,0,0,0,0,0,1,0,0,1,0
40,4,12,9,21,560,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,4,10,3,13,567,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,4,13,4,17,576,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,4,2,2,4,576,0,0,0,0,0,0,0,0,0,1,0,0,1,0
18,4,6,15,21,567,0,0,0,0,0,0,0,0,0,1,0,0,1,0
34,4,1,1,2,567,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,4,1,1,2,567,0,0,0,0,0,0,0,0,0,1,0,0,1,0
28,4,26,25,51,568,0,0,0,0,0,0,0,0,0,1,0,0,1,0
55,4,21,25,46,564,0,0,0,0,0,0,0,0,0,1,0,0,1,0
26,4,6,6,12,564,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,4,19,5,24,578,0,0,0,0,0,0,0,0,0,1,0,0,1,0
70,4,7,7,14,578,0,0,0,0,0,0,0,0,0,1,0,0,1,0
138,4,8,6,14,580,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,4,5,2,7,583,0,0,0,0,0,0,0,0,0,1,0,0,1,0
158,4,58,2,60,639,0,1,0,0,0,0,0,0,0,1,0,0,1,0
0,4,2,8,10,633,0,1,0,0,0,0,0,0,0,1,0,0,1,0
0,4,1,0,1,634,0,1,0,0,0,0,0,0,0,1,0,0,1,0
0,5,12,0,12,646,0,1,0,0,0,0,0,0,0,1,0,0,1,1
0,5,1,1,2,646,0,1,0,0,0,0,0,0,0,1,0,0,1,0
3,5,1,1,2,646,0,1,0,0,0,0,0,0,0,1,0,0,1,0
5,5,3,11,14,638,0,1,0,0,0,0,0,0,0,1,0,0,1,0
0,5,1,0,1,639,0,1,0,0,0,0,0,0,0,1,0,0,1,0
134,5,61,35,96,665,0,1,0,0,0,0,0,0,0,1,0,0,1,0
0,5,29,30,59,664,0,1,0,0,0,0,0,0,0,1,0,0,1,0
5,5,38,31,69,671,0,1,0,0,0,0,0,0,0,1,0,0,1,0
0,5,5,2,7,674,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1,5,9,5,14,678,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1,5,3,3,6,678,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1,5,16,3,19,691,0,1,0,0,0,0,0,0,0,1,0,0,1,0
12,5,9,4,13,696,0,1,0,0,0,1,0,0,0,1,0,0,1,0
1,5,3,1,4,698,0,1,0,0,0,1,0,0,0,1,0,0,1,0
4,5,8,8,16,698,0,1,0,0,0,1,0,0,0,1,0,0,1,0
4,5,13,16,29,695,0,1,0,0,0,1,0,0,0,1,0,0,1,0
4,5,2,2,4,695,0,1,0,0,0,1,0,0,0,1,0,0,1,0
0,5,1,3,4,693,0,1,0,0,0,1,0,0,0,1,0,0,1,0
33,5,2,2,4,693,0,1,0,0,0,1,0,0,0,1,0,0,1,0
10,5,6,1,7,698,0,1,0,0,0,1,0,0,0,1,0,0,1,0
1,5,12,18,30,692,0,1,0,0,0,1,0,0,0,1,0,0,1,0
1,5,2,2,4,692,0,1,0,0,0,1,0,0,0,1,0,0,1,0
3,5,30,26,56,696,0,1,0,0,0,1,0,0,0,1,0,0,1,0
22,5,30,14,44,712,0,1,0,0,0,1,0,0,0,1,0,0,1,0
26,5,20,14,34,718,0,1,0,0,0,1,0,0,0,1,0,0,1,0
0,6,1,1,2,718,0,1,0,0,0,1,0,0,0,1,0,0,1,1
0,6,3,1,4,720,0,1,0,0,0,1,0,0,0,1,0,0,1,0
18,7,1,1,2,720,0,1,0,0,0,1,0,0,0,1,0,0,1,1
146,8,1,1,2,720,0,1,0,0,0,1,0,0,0,1,0,0,1,1
3,8,1,1,2,720,0,1,0,0,0,1,0,0,0,1,0,0,1,0
24,8,5,3,8,722,0,1,0,0,0,1,0,0,0,1,0,0,1,0
1,8,2,2,4,722,0,1,0,0,0,1,0,0,0,1,0,0,1,0
55,8,4,1,5,725,0,1,0,0,0,1,0,0,0,1,0,0,1,0
651,9,4,0,4,729,0,1,0,0,0,1,0,0,0,1,0,0,1,1
0,9,2,2,4,729,0,1,0,0,0,1,0,0,0,1,0,0,1,0
85,9,1,1,2,729,0,1,0,0,0,1,0,0,0,1,0,0,1,0
622,9,22,1,23,750,0,1,0,0,0,1,0,0,0,1,0,0,1,0
16,9,1,1,2,729,0,1,0,0,0,1,0,0,0,1,0,0,1,0
2,10,77,46,123,760,0,1,0,0,0,1,0,0,0,1,0,0,1,1
0,11,3,1,4,762,0,1,0,0,0,1,0,0,0,1,0,0,1,1
0,12,17,16,33,763,0,1,0,0,0,1,0,0,0,1,0,0,1,1
5,12,30,13,43,767,0,1,0,0,0,1,0,0,0,1,0,0,1,0
1,12,39,24,63,782,0,1,0,0,0,1,0,0,0,1,0,0,1,0
16,12,9,22,31,769,0,1,0,0,0,1,0,0,0,1,0,0,1,0
1,12,3,3,6,803,0,1,0,0,0,1,0,0,0,1,0,0,1,0
9,13,22,12,34,773,0,1,0,0,0,1,0,0,0,1,0,0,1,1
2,13,1,1,2,803,0,1,0,0,0,1,0,0,0,1,0,0,1,0
15,13,3,1,4,805,0,1,0,0,0,1,0,0,0,1,0,0,1,0
1,14,0,1,1,772,0,1,0,0,0,1,0,0,0,1,0,0,1,1
16,15,9,4,13,819,0,1,0,0,0,1,0,0,0,1,0,0,1,1
129,16,1,1,2,819,0,1,0,0,0,1,0,0,0,1,0,0,1,1
258,17,23,15,38,827,0,1,0,0,0,1,0,0,0,1,0,0,1,1
2,18,0,7,7,820,0,1,0,0,0,1,0,0,0,1,0,0,1,1
45,18,4,5,9,819,0,1,0,0,0,1,0,0,0,1,0,0,1,0
80,18,1,3,4,817,0,1,0,0,0,1,0,0,0,1,0,0,1,0
2,18,3,3,6,819,0,1,0,0,0,1,0,0,0,1,0,0,1,0
44,19,2,6,8,815,0,1,0,0,0,1,0,0,0,1,1,0,1,1
49,20,7,2,9,820,0,1,0,0,0,1,0,0,0,1,1,0,1,1
0,21,1,2,3,819,0,1,0,0,0,1,0,0,0,1,1,0,1,1
28,21,17,2,19,834,0,1,0,0,0,1,0,0,0,1,1,0,1,0
0,21,3,5,8,832,0,1,0,0,0,1,0,0,0,1,1,0,1,0
264,21,1,1,2,832,0,1,0,0,0,1,0,0,0,1,1,0,1,0
19,21,1,1,2,832,0,1,0,0,0,1,0,0,0,1,1,0,1,0
14,21,1,1,2,832,0,1,0,0,0,1,0,0,0,1,1,0,1,0
54,22,3,1,4,832,0,1,0,0,0,1,0,0,0,1,1,0,1,1
50,22,1,0,1,833,0,1,0,0,0,1,0,0,0,1,1,0,1,0
78,22,1,1,2,833,0,1,0,0,0,1,0,0,0,1,1,0,1,0
0,22,6,2,8,837,0,1,0,0,0,1,0,0,0,1,1,0,1,0
0,22,6,2,8,847,0,1,0,0,0,1,0,0,0,1,1,0,1,0
1,22,21,17,38,841,0,1,0,0,0,1,0,0,0,1,1,0,1,0
0,22,21,17,38,851,0,1,0,0,0,1,0,0,0,1,1,0,1,0
0,22,5,2,7,844,0,1,0,0,0,1,0,0,0,1,1,0,1,0
256,23,13,3,16,843,0,1,0,0,0,1,0,0,0,1,1,0,1,1
2,23,1,1,2,843,0,1,0,0,0,1,0,0,0,1,1,0,1,0
1,23,7,1,8,860,0,1,0,0,0,1,0,0,0,1,1,0,1,0
1,23,4,1,5,846,0,1,0,0,0,1,0,0,0,1,1,0,1,0
0,23,1,1,2,846,0,1,0,0,0,1,0,0,0,1,1,0,1,0
91,23,11,7,18,858,0,1,0,0,0,1,0,0,0,1,1,0,1,0
41,23,5,5,10,867,0,1,0,0,0,1,0,0,0,1,1,0,1,0
1,23,12,2,14,877,0,1,0,0,0,1,0,0,0,1,1,0,1,0
5,23,16,22,38,871,0,1,0,0,0,1,0,0,0,1,1,0,1,0
99,24,11,4,15,874,0,1,0,0,0,1,0,0,0,1,1,0,1,1
381,24,3,10,13,871,0,1,0,0,0,1,0,0,0,1,1,0,1,0
5,25,9,7,16,873,0,1,0,0,0,1,0,0,0,1,1,0,1,1
37,26,21,10,31,884,0,1,0,0,0,0,0,0,0,1,1,0,1,1
0,26,3,3,6,884,0,1,0,0,0,0,0,0,0,1,1,0,1,0
1,26,3,2,5,885,0,1,0,0,0,0,0,0,0,1,1,0,1,0
70,27,41,19,60,907,0,1,0,0,0,0,0,0,0,1,1,0,1,1
312,28,2,0,2,937,0,1,0,0,0,0,0,0,0,1,1,0,1,1
5,29,45,3,48,927,0,1,0,0,0,0,0,0,0,1,1,0,1,1
249,30,8,0,8,935,0,1,0,0,0,0,0,0,0,1,1,0,1,1
17,31,12,0,12,947,0,1,0,0,0,0,0,0,0,1,1,0,1,1
117,31,11,8,19,950,0,1,0,0,0,0,0,0,0,1,1,0,1,0
147,32,6,2,8,978,0,1,0,0,0,0,0,0,0,1,1,0,1,1
702,33,6,2,8,978,0,1,0,0,0,0,0,0,0,1,1,0,1,1
164,33,1,1,2,982,0,1,0,0,0,0,0,0,0,1,1,0,1,0
147,33,0,982,982,982,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5,1,6,72,0,0,0,0,0,0,0,0,0,1,0,0,1,0
9,0,1,0,1,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,2,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,1,1,2,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,1,2,3,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,2,1,3,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433,0,114,14,128,171,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,0,4,20,24,156,0,0,0,0,0,0,0,0,0,1,0,0,1,0
348,0,1,1,2,73,0,0,0,0,0,0,0,0,0,1,0,0,1,0
782,0,1,2,3,72,0,0,0,0,0,0,0,0,0,1,0,0,1,0
999,0,47,59,106,141,0,0,0,0,0,0,0,0,0,1,0,0,1,0
12,0,3,3,6,141,0,0,0,0,0,0,0,0,0,1,0,0,1,0
804,0,1,1,2,141,0,0,0,0,0,0,0,0,0,1,0,0,1,0
363,1,5,0,5,146,0,0,0,0,0,0,0,0,0,1,0,0,1,1
129,1,2,2,4,146,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2297,2,21,9,30,158,0,0,0,0,0,0,0,0,0,1,0,0,1,1
1158,2,0,158,158,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,2,151,0,0,0,0,0,0,0,0,0,1,0,0,1,0
7,0,1,1,2,149,0,0,0,0,0,0,0,0,0,1,0,0,1,0
73,0,1,1,2,149,0,0,0,0,0,0,0,0,0,1,0,0,1,0
648,1,10,9,19,152,0,0,0,0,0,0,0,0,0,1,0,0,1,1
10,1,3,1,4,154,0,0,0,0,0,0,0,0,0,1,0,0,1,0
43,1,11,8,19,154,0,0,0,0,0,0,0,0,0,1,0,0,1,0
22,1,2,2,4,154,0,0,0,0,0,0,0,0,0,1,0,0,1,0
9,1,12,9,21,158,0,0,0,0,0,0,0,0,0,1,0,0,1,0
46,1,1,2,3,157,0,0,0,0,0,0,0,0,0,1,0,0,1,0
9,1,9,11,20,155,0,0,0,0,0,0,0,0,0,1,0,0,1,0
36,1,4,2,6,157,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3,1,1,1,2,157,0,0,0,0,0,0,0,0,0,1,0,0,1,0
41,1,5,1,6,161,0,0,0,0,0,0,0,0,0,1,0,0,1,0
40,1,0,5,5,156,0,0,0,0,0,0,0,0,0,1,0,0,1,0
41,1,3,1,4,158,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,1,13,11,24,160,0,0,0,0,0,0,0,0,0,1,0,0,1,0
590,1,11,1,12,170,0,0,0,0,0,0,0,0,0,1,0,0,1,0
20,1,1,2,3,169,0,0,0,0,0,0,0,0,0,1,0,0,1,0
10,1,0,1,1,168,0,0,0,0,0,0,0,0,0,1,0,0,1,0
37,1,42,28,70,182,0,0,0,0,0,0,0,0,0,1,0,0,1,0
10,1,36,13,49,205,0,0,0,0,0,0,0,0,0,1,0,0,1,0
5,1,2,2,4,205,0,0,0,0,0,0,0,0,0,1,0,0,1,0
22,1,19,9,28,215,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,1,1,1,2,215,0,0,0,0,0,0,0,0,0,1,0,0,1,0
273,1,3,3,6,215,0,0,0,0,0,0,0,0,0,1,0,0,1,0
177,1,5,1,6,219,0,0,0,0,0,0,0,0,0,1,0,0,1,0
93,1,6,2,8,223,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1091,2,2,0,2,225,0,0,0,0,0,0,0,0,0,1,0,0,1,1
13,3,1,0,1,226,0,0,0,0,0,0,0,0,0,1,0,0,1,1
53,4,67,5,72,288,0,0,0,0,0,0,0,0,0,1,0,0,1,1
0,5,12,20,32,280,0,0,0,0,0,0,0,0,0,1,0,0,1,1
3,6,3,2,5,281,0,0,0,0,0,0,0,0,0,1,0,0,1,1
1,7,6,0,6,287,0,0,0,0,0,0,0,0,0,1,0,0,1,1
35,7,1,9,10,279,0,0,0,0,0,0,0,0,0,1,0,0,1,0
299,7,56,0,56,335,0,0,0,0,0,0,0,0,0,1,1,0,1,0
0,9,8,3,11,340,0,0,0,0,0,0,0,0,0,1,1,0,1,1
